#ID	start_group[0-10]	arrival_time_s_after_start
M7978	2	1312.0
M2220	2	1312.0
M4146	2	1312.0
P2631	2	1314.0
M13312	1	1315.0
P1917	2	1316.0
P1065	2	1317.0
P1758	2	1317.0
M3798	2	1317.0
M2137	2	1318.0
M2011	2	1318.0
M3987	2	1318.0
M2254	2	1319.0
P1163	2	1319.0
M13217	2	1320.0
P2344	2	1321.0
P1543	2	1321.0
M2102	2	1321.0
M3786	2	1322.0
M2372	1	1322.0
P1633	2	1323.0
M3865	2	1323.0
M3993	2	1323.0
M2127	2	1323.0
M3321	2	1323.0
P1285	1	1323.0
M1224	1	1324.0
F3015	2	1324.0
M2398	2	1324.0
M2385	2	1324.0
M3825	2	1324.0
P1193	2	1324.0
P1464	2	1324.0
M2258	2	1324.0
M3775	2	1324.0
M2026	2	1325.0
M2266	2	1325.0
M2363	1	1325.0
M2217	2	1325.0
M3778	2	1326.0
M2333	2	1326.0
M3727	2	1326.0
M3377	2	1326.0
M2293	2	1327.0
M255	0	1327.0
M4702	2	1328.0
M1114	1	1329.0
M2338	2	1329.0
M2336	2	1330.0
M3388	2	1331.0
M2134	2	1332.0
M3661	2	1333.0
M3774	2	1333.0
M2094	2	1334.0
M1042	1	1334.0
M3160	2	1334.0
M2160	2	1334.0
M2247	2	1335.0
M2037	2	1335.0
M2171	2	1335.0
P1067	2	1336.0
M2309	2	1336.0
M3740	2	1336.0
P2053	2	1337.0
M5206	2	1337.0
M3643	2	1337.0
M2135	2	1337.0
M2136	2	1338.0
M2265	2	1339.0
M1189	1	1339.0
F4009	2	1339.0
P3012	2	1339.0
M5235	2	1339.0
M2231	2	1340.0
P2129	2	1340.0
M1163	1	1340.0
P2221	2	1343.0
P2771	1	1343.0
P2649	2	1343.0
M2096	2	1343.0
M2289	2	1344.0
P2924	1	1344.0
P2214	2	1345.0
M2389	2	1346.0
M2361	2	1346.0
M10447	2	1347.0
M3781	2	1347.0
M2246	2	1347.0
M3159	2	1347.0
P1520	2	1347.0
M1246	1	1348.0
P1569	2	1348.0
M2229	2	1349.0
M3314	2	1353.0
P1176	2	1354.0
M2286	2	1355.0
M2301	2	1355.0
M1001	1	1355.0
M2141	2	1356.0
M2322	2	1356.0
M3721	2	1356.0
M2197	2	1356.0
M2152	2	1356.0
M3790	2	1357.0
M3702	2	1357.0
M4718	2	1357.0
M3627	2	1357.0
M3333	2	1357.0
M2223	2	1357.0
F2004	2	1359.0
M3819	2	1360.0
P2279	2	1361.0
M3277	2	1362.0
M10451	2	1363.0
P1249	2	1364.0
M2348	2	1366.0
M3317	2	1366.0
M2282	2	1366.0
M2189	2	1366.0
M2310	2	1366.0
M3771	2	1367.0
M2323	2	1367.0
M2208	2	1367.0
M3682	3	1367.0
M2142	2	1369.0
M1139	1	1369.0
M13192	1	1369.0
V1203	2	1369.0
M3154	2	1370.0
M3853	1	1370.0
M2128	2	1370.0
M7203	3	1370.0
F12433	2	1370.0
M3810	2	1370.0
M12919	2	1371.0
M12605	2	1371.0
V1193	2	1371.0
M3707	1	1372.0
M1208	1	1372.0
M3188	3	1372.0
M4533	2	1373.0
M3213	3	1373.0
P2233	2	1374.0
M2349	2	1374.0
M3340	2	1375.0
M2296	2	1375.0
M2380	2	1375.0
M3716	2	1375.0
M3328	2	1375.0
M2013	2	1377.0
M3047	3	1379.0
M1136	1	1379.0
M3611	2	1381.0
M3406	2	1382.0
M3358	2	1383.0
M3715	2	1383.0
M2288	2	1384.0
M3249	2	1385.0
